,Unnamed: 0,Path,Transcript
13,13,./dataset/LibriSpeech/test-clean/6930/75918/6930-75918-0013.flac,in those very terms i even added more
1827,1827,./dataset/LibriSpeech/test-clean/2300/131720/2300-131720-0011.flac,but when it came to be a question of lighting a scattered suburb a group of dwellings on the outskirts a remote country residence or a farm house the alternating current in all elements save its danger was and is ideal
2522,2522,./dataset/LibriSpeech/test-clean/5683/32879/5683-32879-0021.flac,dorcas in her strange way was moved
948,948,./dataset/LibriSpeech/test-clean/5142/33396/5142-33396-0050.flac,may you drink heart's ease from it for many years
2597,2597,./dataset/LibriSpeech/test-clean/121/127105/121-127105-0019.flac,missus griffin however expressed the need for a little more light
2215,2215,./dataset/LibriSpeech/test-clean/61/70968/61-70968-0036.flac,george montfichet will never forget this day
487,487,./dataset/LibriSpeech/test-clean/7127/75946/7127-75946-0020.flac,far from it sire your majesty having given no directions about it the musicians have retained it
123,123,./dataset/LibriSpeech/test-clean/1320/122612/1320-122612-0003.flac,he often stopped to examine the trees nor did he cross a rivulet without attentively considering the quantity the velocity and the color of its waters
1044,1044,./dataset/LibriSpeech/test-clean/2830/3980/2830-3980-0001.flac,they said to the galatians you have no right to think highly of paul
1782,1782,./dataset/LibriSpeech/test-clean/1188/133604/1188-133604-0011.flac,they are beyond all other works that i know existing dependent for their effect on low subdued tones their favorite choice in time of day being either dawn or twilight and even their brightest sunsets produced chiefly out of gray paper
539,539,./dataset/LibriSpeech/test-clean/2961/961/2961-961-0019.flac,for at the peril of her own existence and when the other hellenes had deserted her she repelled the invader and of her own accord gave liberty to all the nations within the pillars
643,643,./dataset/LibriSpeech/test-clean/8230/279154/8230-279154-0026.flac,this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory
2423,2423,./dataset/LibriSpeech/test-clean/237/126133/237-126133-0016.flac,oh no jasper i must go by my very own self
1468,1468,./dataset/LibriSpeech/test-clean/8224/274381/8224-274381-0017.flac,historians at least perhaps from their own ignorance and inexperience have not remarked any thing but a headlong impetuous conduct each party hurrying to a battle where valor and fortune chiefly determined the success
1552,1552,./dataset/LibriSpeech/test-clean/672/122797/672-122797-0023.flac,he well knew that he should never see his dear old comrades the little bushes and flowers around him anymore perhaps not even the birds
2478,2478,./dataset/LibriSpeech/test-clean/3570/5696/3570-5696-0006.flac,as used in the speech of everyday life the word carries an undertone of deprecation
1184,1184,./dataset/LibriSpeech/test-clean/4446/2273/4446-2273-0026.flac,have i told you about my new play
936,936,./dataset/LibriSpeech/test-clean/5142/33396/5142-33396-0038.flac,he shall not leave you day or night whether you are working or playing or sleeping
824,824,./dataset/LibriSpeech/test-clean/1284/1181/1284-1181-0017.flac,the wizard of oz who used to be a humbug and knew no magic at all has been taking lessons of glinda and i'm told he is getting to be a pretty good wizard but he is merely the assistant of the great sorceress
1238,1238,./dataset/LibriSpeech/test-clean/4446/2275/4446-2275-0043.flac,bartley bent over and took her in his arms kissing her mouth and her wet tired eyes
721,721,./dataset/LibriSpeech/test-clean/7176/88083/7176-88083-0014.flac,the hawk sat upon the branch and watched his quarry swimming beneath the surface
277,277,./dataset/LibriSpeech/test-clean/7729/102255/7729-102255-0016.flac,the governor on his part becoming doubtful of the legality of employing missouri militia to enforce kansas laws was also eager to secure the help of federal troops
1315,1315,./dataset/LibriSpeech/test-clean/1221/135766/1221-135766-0010.flac,it was a look so intelligent yet inexplicable perverse sometimes so malicious but generally accompanied by a wild flow of spirits that hester could not help questioning at such moments whether pearl was a human child
2372,2372,./dataset/LibriSpeech/test-clean/237/134500/237-134500-0027.flac,marie's face fell under his brooding gaze
1097,1097,./dataset/LibriSpeech/test-clean/2830/3980/2830-3980-0054.flac,that christ is very god is apparent in that paul ascribes to him divine powers equally with the father as for instance the power to dispense grace and peace
141,141,./dataset/LibriSpeech/test-clean/5639/40744/5639-40744-0004.flac,they drew their swords hid their faces in the flaps of their cloaks turned back and soon came in front of the little party who had not yet done giving thanks to god for their escape from those audacious men
236,236,./dataset/LibriSpeech/test-clean/260/123288/260-123288-0004.flac,the air is heavy the sea is calm
1850,1850,./dataset/LibriSpeech/test-clean/2300/131720/2300-131720-0034.flac,the others having been in operation too short a time to show definite results although they also went quickly to a dividend basis
1271,1271,./dataset/LibriSpeech/test-clean/4077/13751/4077-13751-0013.flac,their sufferings have never yet been fitly chronicled by human scribe
2548,2548,./dataset/LibriSpeech/test-clean/5683/32866/5683-32866-0021.flac,my bed was unexceptionably comfortable but in my then mood i could have wished it a great deal more modern
1718,1718,./dataset/LibriSpeech/test-clean/1089/134691/1089-134691-0011.flac,their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far richer tribute of devotion than his had ever been a gift tenfold more acceptable than his elaborate adoration
2232,2232,./dataset/LibriSpeech/test-clean/61/70968/61-70968-0053.flac,he is my esquire excellency returned robin with dignity
2049,2049,./dataset/LibriSpeech/test-clean/1580/141084/1580-141084-0046.flac,have i told the truth mister gilchrist
1223,1223,./dataset/LibriSpeech/test-clean/4446/2275/4446-2275-0028.flac,yes yes she hurried pulling her hand gently away from him
2023,2023,./dataset/LibriSpeech/test-clean/1580/141084/1580-141084-0020.flac,look at that he held out his hand
2110,2110,./dataset/LibriSpeech/test-clean/4970/29093/4970-29093-0017.flac,i've been ready to go anywhere for six months
862,862,./dataset/LibriSpeech/test-clean/1284/134647/1284-134647-0000.flac,the grateful applause of the clergy has consecrated the memory of a prince who indulged their passions and promoted their interest
1389,1389,./dataset/LibriSpeech/test-clean/7021/79740/7021-79740-0005.flac,i am very glad
1968,1968,./dataset/LibriSpeech/test-clean/1580/141083/1580-141083-0019.flac,above were three students one on each story
1167,1167,./dataset/LibriSpeech/test-clean/4446/2273/4446-2273-0009.flac,it's not particularly rare she said but some of it was my mother's
2381,2381,./dataset/LibriSpeech/test-clean/237/134500/237-134500-0036.flac,i can't play with you like a little boy any more he said slowly that's what you miss marie
1208,1208,./dataset/LibriSpeech/test-clean/4446/2275/4446-2275-0013.flac,i'll do anything you wish me to bartley she said tremulously
2124,2124,./dataset/LibriSpeech/test-clean/4992/41797/4992-41797-0007.flac,he give up his position and shut the family up in that tomb of a house so t he could study his books
780,780,./dataset/LibriSpeech/test-clean/1995/1837/1995-1837-0003.flac,the revelation of his love lighted and brightened slowly till it flamed like a sunrise over him and left him in burning wonder
826,826,./dataset/LibriSpeech/test-clean/1284/1181/1284-1181-0019.flac,i now use them as ornamental statuary in my garden
748,748,./dataset/LibriSpeech/test-clean/1995/1836/1995-1836-0013.flac,mary taylor however related the tale of zora to missus grey's private ear later
1471,1471,./dataset/LibriSpeech/test-clean/4507/16021/4507-16021-0002.flac,thus idleness is the mother
1466,1466,./dataset/LibriSpeech/test-clean/8224/274381/8224-274381-0015.flac,though the discipline of the former parliamentary army was not contemptible a more exact plan was introduced and rigorously executed by these new commanders
371,371,./dataset/LibriSpeech/test-clean/3575/170457/3575-170457-0002.flac,why are we to be divided
1383,1383,./dataset/LibriSpeech/test-clean/7021/79759/7021-79759-0005.flac,the pain produced by an act of hasty and angry violence to which a father subjects his son may soon pass away but the memory of it does not pass away with the pain
607,607,./dataset/LibriSpeech/test-clean/8463/294828/8463-294828-0029.flac,our baggage was immediately carried to the deck of the frigate i rushed aboard
2440,2440,./dataset/LibriSpeech/test-clean/3570/5694/3570-5694-0007.flac,it has even happened that the name for certain diseased conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle
2166,2166,./dataset/LibriSpeech/test-clean/4992/41806/4992-41806-0005.flac,next came olive's turn to help in the ceremonies
167,167,./dataset/LibriSpeech/test-clean/5639/40744/5639-40744-0030.flac,just then leocadia came to herself and embracing the cross seemed changed into a sea of tears and the gentleman remained in utter bewilderment until his wife had repeated to him from beginning to end leocadia's whole story and he believed it through the blessed dispensation of heaven which had confirmed it by so many convincing testimonies
506,506,./dataset/LibriSpeech/test-clean/2961/960/2961-960-0009.flac,the dialogue is primarily concerned with the animal creation including under this term the heavenly bodies and with man only as one among the animals
1222,1222,./dataset/LibriSpeech/test-clean/4446/2275/4446-2275-0027.flac,he moved uneasily and his chair creaked
2480,2480,./dataset/LibriSpeech/test-clean/3570/5696/3570-5696-0008.flac,but it is on other grounds worth noting that the term waste in the language of everyday life implies deprecation of what is characterized as wasteful
330,330,./dataset/LibriSpeech/test-clean/2094/142345/2094-142345-0022.flac,mister ottley's indeed
785,785,./dataset/LibriSpeech/test-clean/1995/1837/1995-1837-0008.flac,where was the use of imagining
512,512,./dataset/LibriSpeech/test-clean/2961/960/2961-960-0015.flac,the style and plan of the timaeus differ greatly from that of any other of the platonic dialogues
651,651,./dataset/LibriSpeech/test-clean/8230/279154/8230-279154-0034.flac,whenever the sense of familiarity occurs without a definite object it leads us to search the environment until we are satisfied that we have found the appropriate object which leads us to the judgment this is familiar
1407,1407,./dataset/LibriSpeech/test-clean/7021/79730/7021-79730-0008.flac,but this last supposition is almost always unnecessary for if mary has been habitually managed on this principle she will not make any trouble
1712,1712,./dataset/LibriSpeech/test-clean/1089/134691/1089-134691-0005.flac,whose feet are as the feet of harts and underneath the everlasting arms
745,745,./dataset/LibriSpeech/test-clean/1995/1836/1995-1836-0010.flac,the vanderpools were sure of this and the englishman instancing india became quite eloquent missus grey was mystified but hardly dared admit it the general trend of the conversation seemed to be that most individuals needed to be submitted to the sharpest scrutiny before being allowed much education and as for the lower races it was simply criminal to open such useless opportunities to them
2299,2299,./dataset/LibriSpeech/test-clean/8555/284447/8555-284447-0000.flac,then he rushed down stairs into the courtyard shouting loudly for his soldiers and threatening to patch everybody in his dominions if the sailorman was not recaptured
1996,1996,./dataset/LibriSpeech/test-clean/1580/141083/1580-141083-0047.flac,did you look at these papers on the table
1397,1397,./dataset/LibriSpeech/test-clean/7021/79740/7021-79740-0013.flac,put these playthings all away quick and carefully and we will not let them know any thing about your leaving them out
647,647,./dataset/LibriSpeech/test-clean/8230/279154/8230-279154-0030.flac,semon's two books mentioned in an earlier lecture do not touch knowledge memory at all closely
1836,1836,./dataset/LibriSpeech/test-clean/2300/131720/2300-131720-0020.flac,it was specially suited for a trial plant also in the early days when a yield of six or eight lamps to the horse power was considered subject for congratulation
1396,1396,./dataset/LibriSpeech/test-clean/7021/79740/7021-79740-0012.flac,said she pointing to the playthings see
1929,1929,./dataset/LibriSpeech/test-clean/6829/68771/6829-68771-0017.flac,the housekeeper led the way and beth followed
2555,2555,./dataset/LibriSpeech/test-clean/5683/32866/5683-32866-0028.flac,the sombre old trees like gigantic hearse plumes black and awful
1388,1388,./dataset/LibriSpeech/test-clean/7021/79740/7021-79740-0004.flac,you have come andella andella was the name of jane's doll to make rosalie a visit
2118,2118,./dataset/LibriSpeech/test-clean/4992/41797/4992-41797-0001.flac,well as i say it's an awful queer world they clap all the burglars into jail and the murderers and the wife beaters i've allers thought a gentle reproof would be enough punishment for a wife beater cause he probably has a lot o provocation that nobody knows and the firebugs can't think o the right name something like cendenaries an the breakers o the peace an what not an yet the law has nothin to say to a man like hen lord
1689,1689,./dataset/LibriSpeech/test-clean/3729/6852/3729-6852-0029.flac,it is sold everywhere but for the last three weeks nobody will use any snuff but that sold at the civet cat
2217,2217,./dataset/LibriSpeech/test-clean/61/70968/61-70968-0038.flac,robin fitzooth
1717,1717,./dataset/LibriSpeech/test-clean/1089/134691/1089-134691-0010.flac,brother mac ardle brother keogh
2036,2036,./dataset/LibriSpeech/test-clean/1580/141084/1580-141084-0033.flac,come come said holmes kindly it is human to err and at least no one can accuse you of being a callous criminal
2085,2085,./dataset/LibriSpeech/test-clean/4970/29095/4970-29095-0031.flac,he doesn't say exactly what it is said ruth a little dubiously but it's something about land and railroads and thee knows father that fortunes are made nobody knows exactly how in a new country
765,765,./dataset/LibriSpeech/test-clean/1995/1826/1995-1826-0015.flac,she had almost forgotten that it was here within touch and sight
636,636,./dataset/LibriSpeech/test-clean/8230/279154/8230-279154-0019.flac,it would seem that only rather recent events can be placed at all accurately by means of feelings giving their temporal relation to the present but it is clear that such feelings must play an essential part in the process of dating remembered events
2420,2420,./dataset/LibriSpeech/test-clean/237/126133/237-126133-0013.flac,i know gasped polly controlling her sobs i won't only i can't thank you
1435,1435,./dataset/LibriSpeech/test-clean/7021/85628/7021-85628-0026.flac,no my little son she said
2482,2482,./dataset/LibriSpeech/test-clean/3570/5696/3570-5696-0010.flac,an article may be useful and wasteful both and its utility to the consumer may be made up of use and waste in the most varying proportions
1582,1582,./dataset/LibriSpeech/test-clean/672/122797/672-122797-0053.flac,they were so extremely curious
2469,2469,./dataset/LibriSpeech/test-clean/3570/5695/3570-5695-0013.flac,consumption becomes a larger element in the standard of living in the city than in the country
906,906,./dataset/LibriSpeech/test-clean/5142/33396/5142-33396-0008.flac,i painted the eyes red for anger
786,786,./dataset/LibriSpeech/test-clean/1995/1837/1995-1837-0009.flac,the lagoon had been level with the dykes a week ago and now
1451,1451,./dataset/LibriSpeech/test-clean/8224/274381/8224-274381-0000.flac,though thrown into prison for this enterprise and detained some time he was not discouraged but still continued by his countenance and protection to infuse spirit into the distressed royalists
188,188,./dataset/LibriSpeech/test-clean/260/123440/260-123440-0009.flac,i shall never get to twenty at that rate
20,20,./dataset/LibriSpeech/test-clean/6930/75918/6930-75918-0020.flac,bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit
855,855,./dataset/LibriSpeech/test-clean/1284/1180/1284-1180-0026.flac,but first i will tell you that for many years i have longed for a servant to help me with the housework and to cook the meals and wash the dishes
965,965,./dataset/LibriSpeech/test-clean/5142/33396/5142-33396-0067.flac,but young sharp tongue now that we have caught you we will put you into a trap that you cannot get out of
268,268,./dataset/LibriSpeech/test-clean/7729/102255/7729-102255-0007.flac,his reception speech at westport in which he maintained the legality of the legislature and his determination to enforce their laws delighted his pro slavery auditors
1177,1177,./dataset/LibriSpeech/test-clean/4446/2273/4446-2273-0019.flac,come we'll have our coffee in the other room and you can smoke
1807,1807,./dataset/LibriSpeech/test-clean/1188/133604/1188-133604-0036.flac,in both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful
1364,1364,./dataset/LibriSpeech/test-clean/908/31957/908-31957-0012.flac,if he to keep one oath must lose one joy by his life's star foretold
1923,1923,./dataset/LibriSpeech/test-clean/6829/68771/6829-68771-0011.flac,tables were spread on the lawn and a dainty but substantial repast was to be served
459,459,./dataset/LibriSpeech/test-clean/7127/75947/7127-75947-0033.flac,how is it la valliere said mademoiselle de tonnay charente that the vicomte de bragelonne spoke of you as louise
2578,2578,./dataset/LibriSpeech/test-clean/121/127105/121-127105-0000.flac,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention
1464,1464,./dataset/LibriSpeech/test-clean/8224/274381/8224-274381-0013.flac,from the same men new regiments and new companies were formed different officers appointed and the whole military force put into such hands as the independents could rely on
759,759,./dataset/LibriSpeech/test-clean/1995/1826/1995-1826-0009.flac,you ought to know john if i teach negroes i'll scarcely see much of people in my own class
2095,2095,./dataset/LibriSpeech/test-clean/4970/29093/4970-29093-0002.flac,he has no traditions to bind him or guide him and his impulse is to break away from the occupation his father has followed and make a new way for himself
571,571,./dataset/LibriSpeech/test-clean/8463/294825/8463-294825-0013.flac,for many then this book has been a source of fascination surely one of the most influential novels ever written an inspiration for such scientists and discoverers as engineer simon lake oceanographer william beebe polar traveler sir ernest shackleton
858,858,./dataset/LibriSpeech/test-clean/1284/1180/1284-1180-0029.flac,sometimes it is called a crazy quilt because the patches and colors are so mixed up
65,65,./dataset/LibriSpeech/test-clean/6930/81414/6930-81414-0015.flac,i do not know i am dazed bewildered
805,805,./dataset/LibriSpeech/test-clean/1995/1837/1995-1837-0028.flac,the chair was empty but he knew
1701,1701,./dataset/LibriSpeech/test-clean/3729/6852/3729-6852-0041.flac,i believe it sir and that is what i fear therefore the principal object of my visit here is to devote myself entirely to the study of the french language
2401,2401,./dataset/LibriSpeech/test-clean/237/134493/237-134493-0013.flac,indeed he had looked away with the purpose of not seeing it
256,256,./dataset/LibriSpeech/test-clean/260/123288/260-123288-0024.flac,the fireball half of it white half azure blue and the size of a ten inch shell moved slowly about the raft but revolving on its own axis with astonishing velocity as if whipped round by the force of the whirlwind
257,257,./dataset/LibriSpeech/test-clean/260/123288/260-123288-0025.flac,here it comes there it glides now it is up the ragged stump of the mast thence it lightly leaps on the provision bag descends with a light bound and just skims the powder magazine horrible
2123,2123,./dataset/LibriSpeech/test-clean/4992/41797/4992-41797-0006.flac,he keeps the thou shalt not commandments first rate hen lord does
580,580,./dataset/LibriSpeech/test-clean/8463/294828/8463-294828-0002.flac,even so i had just returned from an arduous journey exhausted and badly needing a rest
1156,1156,./dataset/LibriSpeech/test-clean/4446/2271/4446-2271-0023.flac,after all we were awfully young
1766,1766,./dataset/LibriSpeech/test-clean/1089/134686/1089-134686-0033.flac,a great saint saint francis xavier
353,353,./dataset/LibriSpeech/test-clean/2094/142345/2094-142345-0045.flac,oh sir don't mention it said missus poyser
1418,1418,./dataset/LibriSpeech/test-clean/7021/85628/7021-85628-0009.flac,at the farther end of the largest hall a table was set with golden cups and golden plates in long rows
2235,2235,./dataset/LibriSpeech/test-clean/61/70968/61-70968-0056.flac,the wine did certainly bring back the color to the squire's cheeks
681,681,./dataset/LibriSpeech/test-clean/7176/92135/7176-92135-0020.flac,double nine two three elsinore double nine yes hallo is that you horatio hamlet speaking
1356,1356,./dataset/LibriSpeech/test-clean/908/31957/908-31957-0004.flac,shall i never miss home talk and blessing and the common kiss that comes to each in turn nor count it strange when i look up to drop on a new range of walls and floors another home than this
2163,2163,./dataset/LibriSpeech/test-clean/4992/41806/4992-41806-0002.flac,they began with the one in the family sitting room colonel wheeler ralph thurston mister and missus bill harmon with natty and rufus mister and missus popham with digby and lallie joy all standing in admiring groups and thrilling with delight at the order of events
2057,2057,./dataset/LibriSpeech/test-clean/4970/29095/4970-29095-0003.flac,i hope thee told the elders that father and i are responsible for the piano and that much as thee loves music thee is never in the room when it is played
2343,2343,./dataset/LibriSpeech/test-clean/8555/284449/8555-284449-0019.flac,that evening trot gave a grand ball in the palace to which the most important of the pinkies and the blueskins were invited
2498,2498,./dataset/LibriSpeech/test-clean/5683/32865/5683-32865-0015.flac,i had a horrid dream about him last night that
2537,2537,./dataset/LibriSpeech/test-clean/5683/32866/5683-32866-0010.flac,well you know radie women like wicked fellows it is contrast i suppose but they do and i'm sure from what bracton has said to me i know him intimately that dorcas likes him and i can't conceive why they are not married
462,462,./dataset/LibriSpeech/test-clean/7127/75947/7127-75947-0036.flac,i give my consent
1594,1594,./dataset/LibriSpeech/test-clean/672/122797/672-122797-0065.flac,now that too is over
1175,1175,./dataset/LibriSpeech/test-clean/4446/2273/4446-2273-0017.flac,how jolly it was being young hilda
1014,1014,./dataset/LibriSpeech/test-clean/8455/210777/8455-210777-0042.flac,you hear what sir ferdinando brown has said replied captain battleax
880,880,./dataset/LibriSpeech/test-clean/5142/36377/5142-36377-0010.flac,he is not well he has come over the ocean for rest and change of scene
1417,1417,./dataset/LibriSpeech/test-clean/7021/85628/7021-85628-0008.flac,for like as not they must have thought him a prince when they saw his fine cap
1211,1211,./dataset/LibriSpeech/test-clean/4446/2275/4446-2275-0016.flac,hilda watched him from her corner trembling and scarcely breathing dark shadows growing about her eyes it
1865,1865,./dataset/LibriSpeech/test-clean/6829/68769/6829-68769-0007.flac,but under the circumstances i doubt if such an arrangement could be made
881,881,./dataset/LibriSpeech/test-clean/5142/36377/5142-36377-0011.flac,mister jago is an american philip
1378,1378,./dataset/LibriSpeech/test-clean/7021/79759/7021-79759-0000.flac,nature of the effect produced by early impressions
674,674,./dataset/LibriSpeech/test-clean/7176/92135/7176-92135-0013.flac,we moderns however see the absurdity of it
2117,2117,./dataset/LibriSpeech/test-clean/4992/41797/4992-41797-0000.flac,yes dead these four years an a good job for her too
1993,1993,./dataset/LibriSpeech/test-clean/1580/141083/1580-141083-0044.flac,i dare not go so far as that but of the three he is perhaps the least unlikely
1089,1089,./dataset/LibriSpeech/test-clean/2830/3980/2830-3980-0046.flac,was it not enough to say from god the father
882,882,./dataset/LibriSpeech/test-clean/5142/36377/5142-36377-0012.flac,make acquaintance with mister jago sit together
1434,1434,./dataset/LibriSpeech/test-clean/7021/85628/7021-85628-0025.flac,but his mother hugged him close
202,202,./dataset/LibriSpeech/test-clean/260/123286/260-123286-0002.flac,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
947,947,./dataset/LibriSpeech/test-clean/5142/33396/5142-33396-0049.flac,here friend take it and he thrust it into the farmer's hand
2054,2054,./dataset/LibriSpeech/test-clean/4970/29095/4970-29095-0000.flac,she was tired of other things
1585,1585,./dataset/LibriSpeech/test-clean/672/122797/672-122797-0056.flac,said the fir tree thinking over what he had himself related
1581,1581,./dataset/LibriSpeech/test-clean/672/122797/672-122797-0052.flac,there's many a one considerably older than i am
1144,1144,./dataset/LibriSpeech/test-clean/4446/2271/4446-2271-0011.flac,sir harry towne mister bartley alexander the american engineer
2468,2468,./dataset/LibriSpeech/test-clean/3570/5695/3570-5695-0012.flac,it is also noticeable that the serviceability of consumption as a means of repute as well as the insistence on it as an element of decency is at its best in those portions of the community where the human contact of the individual is widest and the mobility of the population is greatest
1403,1403,./dataset/LibriSpeech/test-clean/7021/79730/7021-79730-0004.flac,the mother as soon as the chaise is so far turned that mary can no longer watch the expression of her countenance goes away from the door with a smile of complacency and satisfaction upon her face at the ingenuity and success of her little artifice
1076,1076,./dataset/LibriSpeech/test-clean/2830/3980/2830-3980-0033.flac,not all the galatians had become perverted
1973,1973,./dataset/LibriSpeech/test-clean/1580/141083/1580-141083-0024.flac,you left him in a chair you say which chair by the window there
725,725,./dataset/LibriSpeech/test-clean/7176/88083/7176-88083-0018.flac,but this frequenter of the heights of air for all his savage valor was troubled at the leaping waves and the tossing foam of these mad rapids he did not understand them
1569,1569,./dataset/LibriSpeech/test-clean/672/122797/672-122797-0040.flac,and the whole night the tree stood still and in deep thought
907,907,./dataset/LibriSpeech/test-clean/5142/33396/5142-33396-0009.flac,there stand so i said and glare and hiss at my foes
2321,2321,./dataset/LibriSpeech/test-clean/8555/284447/8555-284447-0022.flac,i had a notion it was you mate as saved me from the knife
1343,1343,./dataset/LibriSpeech/test-clean/908/157963/908-157963-0022.flac,come forth worm and the silent valley to thy pensive queen
201,201,./dataset/LibriSpeech/test-clean/260/123286/260-123286-0001.flac,the horizon seems extremely distant
860,860,./dataset/LibriSpeech/test-clean/1284/1180/1284-1180-0031.flac,at the emerald city where our princess ozma lives green is the popular color
411,411,./dataset/LibriSpeech/test-clean/3575/170457/3575-170457-0042.flac,unfortunately the fracture could not be set till six o'clock the next morning as no surgeon was to be had before that time and she now lies at our house in a very doubtful and dangerous state
1094,1094,./dataset/LibriSpeech/test-clean/2830/3980/2830-3980-0051.flac,when you argue about the nature of god apart from the question of justification you may be as profound as you like
743,743,./dataset/LibriSpeech/test-clean/1995/1836/1995-1836-0008.flac,i believe in the training of people to their highest capacity the englishman here heartily seconded him
497,497,./dataset/LibriSpeech/test-clean/2961/960/2961-960-0000.flac,he passes abruptly from persons to ideas and numbers and from ideas and numbers to persons from the heavens to man from astronomy to physiology he confuses or rather does not distinguish subject and object first and final causes and is dreaming of geometrical figures lost in a flux of sense
126,126,./dataset/LibriSpeech/test-clean/1320/122612/1320-122612-0006.flac,let us retrace our steps and examine as we go with keener eyes
1642,1642,./dataset/LibriSpeech/test-clean/5105/28240/5105-28240-0018.flac,you will take me on board count will you not
905,905,./dataset/LibriSpeech/test-clean/5142/33396/5142-33396-0007.flac,at the prow i carved the head with open mouth and forked tongue thrust out
2474,2474,./dataset/LibriSpeech/test-clean/3570/5696/3570-5696-0002.flac,other circumstances permitting that instinct disposes men to look with favor upon productive efficiency and on whatever is of human use
1495,1495,./dataset/LibriSpeech/test-clean/4507/16021/4507-16021-0026.flac,to keep afloat and to rescue from oblivion to hold above the gulf were it but a fragment of some language which man has spoken and which would otherwise be lost that is to say one of the elements good or bad of which civilization is composed or by which it is complicated to extend the records of social observation is to serve civilization itself
363,363,./dataset/LibriSpeech/test-clean/2094/142345/2094-142345-0055.flac,but you know more about that than i do sir
689,689,./dataset/LibriSpeech/test-clean/7176/92135/7176-92135-0028.flac,larkspur bit me again this morning for the third time
